Teks_Komentar,teks_final,sentiment
"kalau mau punya penduduk gak mau kabur dan bisa nasionalis, sebisa mungkin kalian-kalian yg menjadi PEMBANTU PRESIDEN untuk lebih bertanggung jawab dan tidak mengedapankan kepentingan kalian sendiri, kenyataan disini adalah kepentingan di INDONESIA ini yg selalu didahulukan itu kalian-kalian lah para PEJABAT tanpa kami tahu yg sebagai ATASAN kalian untuk melihat TANGGUNG JAWAB kalian dalam mengemban JABATAN kalian itu dan KEBIJAKAN-KEBIJAKAN yg suka gonta ganti tanpa kejelasan akan TUJUANnya,",duduk tidak kabur nasionalis bantu presiden tanggung tidak mengedapankan nyata indonesia jabat tidak lihat tanggung emban jabat bijak bijak suka gonta ganti tidak jelas tuju,Positif
"""Kabur Aja Dulu "" = lari dari kenyataan😂",kabur lari nyata,Negatif
next - pindah aja dulu 😂😂😂,next pindah,Positif
"Jujur bang, menurut aku orang luar AS/EROPA itu sangat menghargai EFFORT kita dalam bekerja, aku sebagai freelance desain grafis sangat merasakan hal itu, aku ada client orang luar yang dia itu salah satu karyawan di perusahaan, dan ngehire aku untuk kerjasama di bidang desain, aku sering disuruh untuk membuat desain yang menurut aku ""SANGAT SIMPEL"" tapi dia ngasih briefnya itu panjang, jelas, dan sangat effort banget lah dan dia berani BAYAR MAHAL untuk hal yang menurut aku ""SANGAT SIMPEL"" tersebut, dan ketika pekerjaannya selesai itu dia sangat berterima kasih dan muji-muji gitu lah intinya, padahal sekali lagi menurut aku desainnya sangat simpel tapi dia sangat menghargai effort kita dalam bekerja. Alhamdulillah.",jujur orang luar eropa harga effort kerja freelance desain grafis ada client orang luar salah karyawan usaha ngehire kerjasama bidang desain suruh desain simpel briefnya jelas effort banget berani bayar mahal simpel kerja selesai terima kasih muji muji gitu inti desain simpel harga effort kerja alhamdulillah,Positif
"Pejabatnya malah komen kayak gitu, gimana mau menuju Indonesia emas 😂😂😂",jabat komen gitu gimana tuju indonesia emas,Positif
materi terus bang satu indo keresahan wkwkw,materi indo resah hahaha,Positif
"Ayah, Ibu, kenapa aku terlahir sebagai WNI?",ayah lahir wni,Positif
"Orang yg nganggep sistem di Indonesia baik"" saja itu sebenarnya adlh org yg gk pernah liat dunia lain bekerja.",orang anggap sistem indonesia orang tidak lihat dunia kerja,Positif
"seorang yang dlabeli bocah2 ""kosong"" aja komplain sama apa yang mereka bayarkan yaitu pajak mereka sndiri protes sama hal yang terjadi di indonesia",orang dlabeli bocah kosong komplain bayar pajak protes indonesia,Positif
memang setiap zaman pasti ada minusnya pemerintah kita. tapi kalo sampai bilang pemerintah sekarang lebih baik dari sebelumnya. hmm..,zaman ada minus pemerintah bilang pemerintah belum hmm,Positif
"Jangan Hiraukan ""kabur aja dulu"" Itu hanya isu/teori konspirasi pemerintah ""stay here, keep strong""",tidak hirau kabur isu teori konspirasi pemerintah stay keep strong,Negatif
Abang kalau mau bantu wujudkan Indonesia Berdikari bawakan 4 tuntutan ini agar Presiden buat Perpresnya: 1. Hukuman mati koruptor 2. Stop total import pangan sandang papan 3. Produk teknologi tinggi wajib bangun produksi dengan TKDN 80% 4. Bangun infrastruktur laboratorium riset terkini di seluruh kampus.,abang bantu wujud indonesia berdikari bawa tuntut presiden pres hukum mati koruptor stop total import pangan sandang papan produk teknologi wajib bangun produksi tkdn bangun infrastruktur laboratorium riset kampus,Negatif
"1:00 Setuju bang, biar malemnya bisa tidur lebih nyenyak...",setuju malemnya tidur nyenyak,Positif
"Pengen kabur itu sejak rezim gorong2 berkuasa 10th,ditambah malah berkelanjutan skrg,ya gmn gak makin semangat kaburnya 😂",ken kabur rezim gorong kuasa skrg gimana tidak semangat kabur,Positif
"Salah satu Improvement yang perlu dilakukan => Kebanyakan Partai Politik di Indonesia, sehingga menyebabkan banyak kepentingan, banyak keputusan yang tidak untuk kemajuan sistem, banyak titipan, banyak korupsi, banyak jatah2 tertentu, banyak nopotisme, banyak pejabat yang Unqualified yg duduk di pemerintahan baik pusat / daerah, banyak...dll.",salah improvement laku partai politik indonesia putus tidak maju sistem titip korupsi jatah nopotisme jabat unqualified duduk perintah pusat daerah dll,Positif
Alasan terbesar kenapa ada hastag KaburAjaDulu adalah KETIDAK BECUSAN PEMERINTAH DALAM MEMBUAT KEBIJAKAN dan org2 yang udh menduduki posisi pemerintahan cenderung defensif g menerima kritikan karena mereka hidup udh enak g mikirin nasib rakyat kecil,alas ada hastag kaburajadulu tidak becus pemerintah bijak org duduk posisi perintah cenderung defensif tidak terima kritik hidup enak tidak pikir nasib rakyat,Positif
"Setuju banget, kebanyakan peristiwa diberita dulu udh bnyak cuma krn era sosmed jadi terang menderang kena lampu sorot 1000 watt🙄",setuju banget peristiwa berita era sosmed terang derang kena lampu sorot watt,Positif
"gausah jauh2 bang, nanya yg dsekitar kita aja  mungkin bbrpa dr kita prnh punya temen/kenalan yg prnh krja dijepang, tanya aja mnding mana dengan indo jlas psti dia bilang disono kmna2  dan yg udh pulang dr jepang kebanyakan brangkat lg ksono",tidak dsekitar bbrpa temen kenal kerja dijepang mending indo jlas bilang sono kmna pulang jepang brangkat ksono,Positif
Kakaknya RA Kartini namanya RM Panji Sosrokartono. Beliau sarjana pertama yang bersekolah diluar negri dan menguasai banyak bahasa. Setelah lulus berkarier sebagai wartawan di media luar negri sebelum pada akhirnya kembali ke Indonesia,kakak kartini nama panji sosrokartono beliau sarjana sekolah luar negeri kuasa bahasa lulus karier wartawan media luar negeri belum indonesia,Netral
"Dikritik dibilang ndasmu, warganya keluar negeri malah diusir, anak kecil bicara jujur ditakut2i jin botak, orang2 bermasalah disuruh ngurus 14rb trilyun tanpa pengawasan kpk, ayo rakyat indo smpe kapan pasrah ?",kritik bilang ndasmu warga negeri usir anak bicara jujur takut jin botak orang suruh urus trilyun tidak awas kpk ayo rakyat indo pasrah,Positif
"Perbedaan SDM luar negeri khususnya AS dan Eropa itu sangat erat hubungannya dengan sejarah mereka sendiri. Kita tahu bahwa Eropa itu dari abad ke-8 s/d ke-20 M banyak sekali perang, revolusi, kelaparan, dan wabah terjadi silih berganti. Masyarakat Eropa dan AS itu sudah melewati seleksi alam yang ketat. Sehingga melahirkan tipikal masyarakat yang memiliki mental kritis dan maju. Karena leluhur mereka yang membayar itu semua melalui perang dan revolusi. Jangan bandingkan dengan leluhur bangsa kita, ketika VOC datang ke negara ini. Raja-raja dan bupati kita sendiri yang membiarkan dan memberi izin mendirikan benteng. Bahkan konon katanya Bupati dan Raja kita sendirilah yang menindas bangsanya sendiri demi uang dan kekuasaan dari penjajah.",beda sdm luar negeri khusus eropa erat hubung sejarah eropa abad perang revolusi lapar wabah silih ganti masyarakat eropa seleksi alam ketat lahir tipikal masyarakat milik mental kritis maju leluhur bayar perang revolusi tidak banding leluhur bangsa voc negara raja raja bupati izin benteng konon bupati raja tindas bangsa uang kuasa jajah,Netral
"Emang susah banget hidup di negara yang pejabatnya lebih mikirin jabatan doang, kerjanya kureng.  Lebih spesifik untuk Pak Presiden,  ""Pak Prabowo, Kerja Aja Dulu, baru mikirin pilpres 2029, baru seratus hari mikirin nyapres"".",emang susah banget hidup negara jabat pikir jabat doang kerja reng spesifik presiden prabowo kerja pikir pilpres ratus pikir nyapres,Positif
cinta Indonesia kita emang sering bertepuk sebelah tangan bang,cinta indonesia emang tepuk belah tangan,Positif
"Kayaknya kabur dulu jaman dulu memang benar2 kabur, tapi sekarang ‘kabur aja dulu’ lebih ke lowongan pekerjaan yg minim juga persyaratan yg njlimet",kabur jaman kabur kabur lowong kerja minim syarat njlimet,Positif
"Terlepas dari pandangan miring soal WNI yg kerja sebagai admin judol di Kamboja, gw lebih respect utk mereka dibanding pengangguran dikampung yg cuma bisa ngeluh karna gak ada usaha buat bekerja, ataupun pandangan lain dari mereka yg kerja disana karna gak ada harapan hidup yg layak serta mengharapkan ketersediaan lapangan kerja di negri ini",lepas pandang miring wni kerja admin judol kamboja respect banding anggur kampung keluh tidak ada usaha kerja pandang kerja tidak ada harapan hidup layak harap sedia lapang kerja negeri,Positif
Kok sedih yah. Indonesiaa kamu kapan sadarnya ??  😢,sedih yah indonesiaa sadar,Positif
"Relate banget soal penjelasan ""Street smart"" & ""Book Smart"" nya 😂😂",relate banget jelas street smart book smart,Netral
berak aja dulu sebelum kabur aja dulu,berak belum kabur,Netral
Kabur saja jika dlm nkri cuma buat rusuh .. Nkri butuh pejuang2 bukan pencundang... Anak2 gaza rela dibom nuklir As daripada kabur dari gaza... Memalukan,kabur nkri rusuh nkri butuh juang tidak cundang anak gaza rela bom nuklir kabur gaza malu,Negatif
Ga setuju gua ama program bergizi gratis cmn buang buang anggaran dan ga tepat sasaran,tidak setuju program gizi gratis buang buang anggar tidak sasar,Positif
Kalo mau pindah pindah aja gpp. Pilihan hidup org kita gk bisa paksa ttp di indo,pindah pindah gpp pilih hidup orang tidak paksa indo,Netral
"btw yang bobrok bukan pemerintah doang ,tapi dari atas sampai bawah emng bobrok",btw bobrok tidak pemerintah bobrok,Positif
"4:35 Setauku sih para eksil itu BUKAN KABUR ya, nji! Dia sudah berangkat untuk kuliah ke luar negeri di era Sukarno. Dan mereka dikirim sekolah untuk kemudian membangun Indonesia setelah lulus. Setelah ada geger 1965, mereka yang sekolah di negara2 komunis kehilangan kewarganegaraan. Mereka juga pengen pulang, ndji! Bukan kabur, tapi ""rumahnya dihilangkan"" oleh rezim Suharto! Tonton film EKSIL deh!",eksil tidak kabur nji berangkat kuliah luar negeri era sukarno kirim sekolah bangun indonesia lulus ada geger sekolah negara komunis hilang kewarganegaraan ken pulang ndji tidak kabur rumah hilang rezim suharto tonton film eksil,Netral
"Kalo masih beliin pemerintah dengan dalih masih dalam proses, Singapura tahun 90 an setara dengan Indonesia di periode yg sama, Malaysia juga sama. Tp sekarang kita ketinggalan. Itu artinya ada yg salah dengan pemerintah. Ga usah yg lama, kasus terbaru, Vietnam, sebelum 2010 Indonesia jauh di atas Vietnam, sekarang mereka setara dengan kita. Padahal secara demografi kita jauh unggul. Tp kenapa sekarang mereka mulai membalas kita.",beliin pemerintah dalih proses singapura tara indonesia periode malaysia tinggal arti ada salah pemerintah tidak vietnam belum indonesia vietnam tara demografi unggul balas,Positif
"1945 - 1965 : merdeka, Nasakom. 1966 - 1998 : pembangunan, KKN. 1998 - 2004 : reformasi, transisi. 2024 - 2014 : reformasi , auto pilot. 2014 - 2024 : reformaTi, Mahkaman Keponakan, PSN. 2024 - ???? : reformaTi, berkelanjutan, omon2, Indonesia Gelap, kabur saja dulu, coba2, dll.  Buat anak kok coba-coba. ❌ Buat negara kok coba-coba (trial & error kebijakan). ✅",merdeka nasakom bangun kkn reformasi transisi reformasi auto pilot reformati mahkaman keponakan psn reformati omon indonesia gelap kabur coba dll anak coba coba negara coba coba trial error bijak,Positif
"Kalo Saya Umpama Bikin Perbandingan Tiga Imigran ini Bang, Yakni Imigran Arab, Imigran India, Imigran Indonesia di Negara2 Barat, kita tau lah Imigran Arab yang Paling Ga bagus Penilaiannya karena Faktor Bias Penilaian Masyarakat Barat. Nah kini diantara Imigran India sama Imigran Indonesia, Imigran India banyak Orangnya dan memang dikenal Pengusaha2 Sukses di Perusahaan2 Barat sama di Dunia STEM (Science, Technology, Engineering, and Mathematics) emang mereka Imigran yang Paling Diperhitungkan di Negara2 Barat. Imigran Indonesia emang ga dikenal Sukses Besar di Bidang2 Seperti Itu, tapi justru di Banding Imigran Arab yang memang namanya Kurang Bagus bahkan Imigran India yang sudah Se-Prestise itu dari Sisi Society dan Interpersonal Justru Kita Lebih Adaptasi dan Integrasi dengan Society Negara2 Barat Lebih Baik dibanding kedua Imigran2 Arab sama India, soalnya karakter Imigran Indonesia ga se-bertabrakan dengan Imigran Arab sama Imigran India.",umpama bikin banding imigran imigran arab imigran india imigran indonesia negara barat imigran arab tidak bagus nilai faktor bias nilai masyarakat barat imigran india imigran indonesia imigran india orang kenal usaha sukses usaha barat dunia stem science technology engineering mathematics emang imigran hitung negara barat imigran indonesia emang tidak kenal sukses bidang banding imigran arab nama bagus imigran india prestise sisi society interpersonal adaptasi integrasi society negara barat banding imigran arab india karakter imigran indonesia tidak tabrak imigran arab imigran india,Netral
"27:02 it hit deep, gua sekolah penerbangan lulusan 2016 yang sudah bayar sekolah sekitar 700jt dan setelah lulus sampe skrng blm dapet pekerjaan karena buat masuk maskapai harus ada ordal dan bayar lagi sekitar 800jt yang tentu bayar kepada yg katanya ""oknum"", gua sendiri gamau dan gabisa bayar uang tersebut. Di indonesia emang kerasa banget apa2 lu gabisa jalan lurus cuma ngikutin jalurnya aja harus ada kenal sana kenal sini. Am i frustrated? Freaking yes!",hit deep sekolah terbang lulus bayar sekolah lulus tidak kerja masuk maskapai ada ordal bayar bayar oknum tidak tidak bayar uang indonesia emang asa banget tidak jalan lurus jalur ada kenal kenal frustrated freaking yes,Positif
Lama kelamaan Indonesia akan seperti india. Dimana s1 dan s2 nya byk yg kerja jadi tukang sapu jalanan. Karena saking sulitnya nyaru kerja yg layak. Kalah dg suap dan orang dalam.,indonesia india kerja tukang sapu jalan saking sulit nyaru kerja layak kalah suap orang,Positif
"yah skrg emang banyak istilah n hashtag, n cpet viral karena banyak orang fomo n bener bgt sih sebenernya peristiwa/fenomena dll pasti dah banyak terjadi di masa lalu, cuman ya gk disorot aja makanya gk sengeTren sekarang but di satu sisi, ini jg one step ahead buat ngekritik n ngerubah pemerintah sih, karena gaungnya keras apalagi didukung demo para Mhs kemaren. semoga ini menuju ke awal yang baik  btw kalo ngomongin bang pandji standup bawa indo di LN, ya sama kaya si dedy cahyadi. dia kyknya juara sulap di LN, tapi ya gada yg liput or tau di indo...",yah emang istilah hashtag cpet viral orang fomo bener banget peristiwa fenomena dll tidak sorot tidak sengetren sisi one step ahead ngekritik ngerubah pemerintah gaung keras dukung demo mhs kemaren moga tuju btw bicara pandji standup bawa indo kaya dedy cahyadi kyknya juara sulap tidak ada liput indo,Netral
"Medsos membuka mata orang bang. Dengan melihat negara lain yang dikelola lebih baik, kita jadi sadar betapa bobroknya pemerintahan negara ini. Bukti konkretnya Indonesia sudah mulai kesusul negara-negara Asia Tenggara yang dulunya di bawah kita. Itu murni efek ketidakbecusan pemerintah. Melihat Prabowo mengangkat orang2 kotor juga nambah frustasi, ga ada harapan, gelap. Sekarang yang mau Kaburajadulu tapi belum bisa apa-apa pada diketawain. Tapi gue yakin fenomena ini bukan instan dimana kita bakal lihat WNI exodus ke luar negeri hari ini. Kita baru akan lihat efeknya beberapa tahun ke depan. Karena gue tau sebagian orang hari ini mulai serius untuk mengasah skill dan belajar bahasa asing.",medsos buka mata orang lihat negara kelola sadar betapa bobrok perintah negara bukti konkret indonesia susul negara negara asia tenggara dulunya murni efek ketidakbecusan pemerintah lihat prabowo angkat orang kotor frustasi tidak ada harapan gelap kaburajadulu tidak diketawain fenomena tidak instan lihat wni exodus luar negeri lihat efek orang serius asah skill ajar bahasa asing,Positif
"Thank you bang udah sharing, menurut saya akar semua masalah ini adalah sistem partai dan rekruitmen di semua lini yang sebagian besar udah korup banyak nepotismenya. Mungkin benahi dua aspek dasar itu dulu baru bisa perbaiki yang lain.",thank sharing akar sistem partai rekruitmen lini korup nepotisme benah aspek dasar,Positif
Kabur dr masalah tp  masalahnya gk ikut kabur. Sialan lo ninggalin masalah😂,kabur tidak kabur sial tinggal,Negatif
Kasus hukum aja bisa dipesan atau dibuat-buat. Apalagi orang nyela jalan  buat sampai di tujuan 😢,hukum pes orang nyela jalan tuju,Positif
"gw pernah tinggal di Belanda 5 tahun, tiap denger lagu Tanah Aiiir kutiiidak kulupakaaann gw nangis mulu, pas balik Indo dengerin lagu yg sama jd biasa aja 😂",tinggal belanda dengar lagu tanah aiiir kutiiidak kulupakaaann nang mulu pas indo dengar lagu,Positif
